Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,30.590000,31.230000,29.840000,30.430000,24.232862,101210200
2019-11-04,30.889999,31.219999,29.959999,30.360001,24.177118,81023400
2019-11-05,30.410000,30.600000,29.580000,29.650000,23.611712,92980900
2019-11-06,30.049999,30.700001,28.100000,29.709999,23.659489,154003100
2019-11-07,30.000000,31.070000,29.540001,30.900000,24.607145,96329000
2019-11-08,30.450001,30.790001,29.930000,30.020000,23.906363,61567700
2019-11-11,29.850000,30.450001,29.790001,30.450001,24.248789,30570500
2019-11-12,30.040001,30.610001,30.010000,30.020000,24.065157,41655600
2019-11-13,29.950001,30.129999,29.610001,29.900000,23.968958,41827700
2019-11-14,29.879999,30.100000,29.270000,29.299999,23.487978,44595200
2019-11-18,29.700001,29.850000,29.070000,29.080000,23.311615,54468100
2019-11-19,29.250000,29.490000,28.730000,28.780001,23.071125,33740200
2019-11-21,28.930000,29.850000,28.879999,29.850000,23.928877,53033100
2019-11-22,29.760000,30.340000,29.559999,29.980000,24.033091,34786000
2019-11-25,29.920000,30.100000,29.629999,29.730000,23.832682,29868400
2019-11-26,29.620001,29.730000,29.100000,29.190001,23.399797,54147800
2019-11-27,29.350000,29.650000,29.139999,29.330000,23.512024,33072500
2019-11-28,29.320000,29.540001,28.809999,29.530001,23.672352,46602800
2019-11-29,29.490000,29.559999,29.010000,29.150000,23.367729,37699000
2019-12-02,29.400000,29.500000,29.070000,29.070000,23.303598,31353600
2019-12-03,29.170000,29.190001,28.730000,28.980000,23.231453,29194000
2019-12-04,29.260000,29.660000,29.110001,29.660000,23.776566,44960000
2019-12-05,29.639999,30.389999,29.520000,30.049999,24.089205,50447000
2019-12-06,30.150000,30.590000,30.129999,30.350000,24.329697,44348600
2019-12-09,30.299999,30.480000,30.120001,30.209999,24.217464,34694100
2019-12-10,30.100000,30.440001,29.900000,30.440001,24.401846,27532700
2019-12-11,30.510000,30.709999,30.260000,30.400000,24.369776,38458300
2019-12-12,30.639999,31.049999,30.480000,30.969999,24.826712,47797800
2019-12-13,30.889999,30.969999,29.870001,29.980000,24.033091,105004400
2019-12-16,30.049999,30.170000,29.410000,29.410000,23.576153,68871000
2019-12-17,29.639999,29.900000,29.430000,29.850000,23.928877,40679900
2019-12-18,29.750000,30.570000,29.700001,30.540001,24.482008,64201600
2019-12-19,30.450001,30.750000,30.420000,30.610001,24.538120,39696000
2019-12-20,30.600000,30.600000,30.020000,30.260000,24.257549,93064900
2019-12-23,30.190001,30.500000,30.030001,30.500000,24.449940,21970200
2019-12-26,30.590000,30.930000,30.500000,30.910000,24.778614,24810500
2019-12-27,30.690001,30.920000,30.290001,30.520000,24.804573,24995100
2019-12-30,30.549999,30.709999,30.150000,30.180000,24.528244,22111600
2020-01-02,30.510000,30.700001,30.309999,30.700001,24.950865,37774500
2020-01-03,30.879999,31.240000,30.450001,30.450001,24.747683,71595600
2020-01-06,30.430000,30.940001,29.950001,30.809999,25.040264,81844000
2020-01-07,30.820000,30.879999,30.469999,30.690001,24.942738,32822000
2020-01-08,30.690001,30.770000,30.240000,30.500000,24.788319,48215600
2020-01-09,30.469999,30.620001,30.250000,30.400000,24.707047,36102700
2020-01-10,30.389999,30.440001,30.129999,30.270000,24.601389,25397500
2020-01-13,30.350000,30.430000,30.209999,30.330000,24.650154,30676800
2020-01-14,30.230000,30.270000,29.770000,30.000000,24.381954,39796500
2020-01-15,29.900000,29.930000,29.540001,29.549999,24.016222,34405700
2020-01-16,29.600000,29.700001,29.330000,29.520000,23.991842,28997400
2020-01-17,29.719999,29.850000,29.540001,29.850000,24.260044,34908000
2020-01-20,29.700001,30.100000,29.650000,30.000000,24.381954,31241400
2020-01-21,29.799999,29.940001,29.549999,29.620001,24.073112,28577400
2020-01-22,29.730000,29.809999,29.270000,29.290001,23.804913,32491500
2020-01-23,29.090000,29.760000,28.820000,29.650000,24.097494,53752100
2020-01-24,29.559999,29.780001,29.139999,29.299999,23.813038,36898700
2020-01-27,28.629999,28.639999,27.670000,28.030001,22.780874,66105300
2020-01-28,28.430000,29.139999,28.420000,28.799999,23.406673,47259100
2020-01-29,29.000000,29.080000,28.670000,28.850000,23.447311,42297500
2020-01-30,28.280001,29.040001,28.180000,28.940001,23.520458,44266800
2020-01-31,28.629999,28.840000,28.309999,28.450001,23.122219,55446700
2020-02-03,28.520000,28.730000,28.160000,28.180000,22.902782,39452800
2020-02-04,28.650000,29.040001,28.559999,28.629999,23.268513,57658400
2020-02-05,29.049999,29.219999,28.389999,28.389999,23.073456,67994500
2020-02-06,28.700001,29.510000,28.120001,29.180000,23.715513,126114000
2020-02-07,29.000000,29.350000,28.730000,28.930000,23.512329,54514600
2020-02-10,28.889999,29.129999,28.639999,29.129999,23.674875,45328100
2020-02-11,29.400000,29.629999,29.260000,29.480000,23.959332,37518200
2020-02-12,29.639999,30.280001,29.629999,30.129999,24.487608,64851000
2020-02-13,29.770000,30.209999,29.639999,29.719999,24.154383,55277100
2020-02-14,29.860001,29.959999,29.340000,29.420000,23.910570,30399900
2020-02-17,29.629999,29.770000,29.309999,29.360001,23.861803,38684900
2020-02-18,29.059999,29.770000,28.950001,29.750000,24.178768,33890900
2020-02-19,29.870001,30.549999,29.760000,30.549999,24.828955,44181800
2020-02-20,30.799999,30.889999,29.750000,29.920000,24.316935,73522900
2020-02-21,29.510000,29.680000,29.030001,29.139999,23.683002,47805100
2020-02-26,27.040001,27.389999,26.030001,26.209999,21.301697,89207100
2020-02-27,25.719999,26.530001,24.889999,25.299999,20.562113,100112100
2020-02-28,25.160000,25.559999,24.620001,25.340000,20.594622,89095300
2020-03-02,25.500000,26.750000,25.480000,26.530001,21.561775,71596400
2020-03-03,26.570000,27.480000,25.760000,26.049999,21.171661,86855700
2020-03-04,26.910000,26.940001,26.240000,26.889999,21.854359,42320500
2020-03-05,26.330000,26.670000,24.709999,25.290001,20.553988,69722300
2020-03-06,24.100000,24.129999,22.549999,22.830000,18.554667,138597600
2020-03-09,17.809999,18.230000,15.410000,16.049999,13.044344,254813800
2020-03-10,18.650000,18.650000,16.370001,17.559999,14.271569,170478000
2020-03-11,16.700001,17.129999,15.000000,15.850000,12.881798,132482400
2020-03-12,13.660000,13.860000,11.080000,12.600000,10.240420,151535900
2020-03-13,15.100000,15.400000,12.700000,15.400000,12.516069,174972600
2020-03-16,12.910000,14.100000,12.550000,13.090000,10.638659,126432800
2020-03-17,13.600000,13.840000,13.000000,13.000000,10.565513,149228500
2020-03-18,11.790000,12.270000,10.870000,11.290000,9.175741,162515200
2020-03-19,11.070000,13.070000,10.850000,12.210000,9.923455,157065200
2020-03-20,13.110000,13.500000,11.830000,12.000000,9.752781,149029900
2020-03-23,12.110000,12.180000,11.280000,11.500000,9.346416,107092400
2020-03-24,12.570000,13.540000,12.280000,13.250000,10.768696,114259200
2020-03-25,13.240000,14.790000,12.830000,14.320000,11.638319,158286200
2020-03-26,14.400000,15.190000,13.810000,14.390000,11.695210,130618400
2020-03-27,13.300000,13.690000,13.250000,13.300000,10.809333,101405900
2020-03-30,13.150000,13.740000,12.830000,13.380000,10.874351,110947200
2020-03-31,13.600000,14.540000,13.600000,13.990000,11.370117,156116500
2020-04-01,13.450000,14.550000,13.320000,14.300000,11.622065,114455000
2020-04-02,15.400000,16.549999,15.010000,15.510000,12.605468,234951200
2020-04-03,16.299999,16.360001,14.930000,15.340000,12.467304,142898700
2020-04-06,16.049999,16.100000,15.180000,15.770000,12.816781,123934200
2020-04-07,16.610001,17.070000,16.340000,16.400000,13.328800,140498900
2020-04-08,16.500000,17.530001,16.400000,17.320000,14.076513,116151600
